feature_level,population,abs_correlation
6,mated,0.5108458456525236
6,mated,0.502861726977615
6,mated,0.5013266736802722
6,mated,0.4648081448814005
6,mated,0.41469700837594103
6,mated,0.5370548314945895
6,mated,0.5661656666572351
6,mated,0.5023600637106899
6,mated,0.46641499803327297
6,mated,0.5159762357884973
6,mated,0.581609784614344
6,mated,0.5493290208023868
6,mated,0.6327310912052966
6,mated,0.5877836198147637
6,mated,0.6577121699580768
6,mated,0.5654030493912827
6,mated,0.6015581046386302
6,mated,0.5707792865013506
6,mated,0.5519391496413194
6,mated,0.6447038392281297
6,mated,0.6480379170244834
6,mated,0.6252611870177691
6,mated,0.6362329611225297
6,mated,0.5932757614041965
6,mated,0.5090387276379889
6,mated,0.5328486007907707
6,mated,0.5439023615803614
6,mated,0.5630808510377453
6,mated,0.5369633776834192
6,mated,0.48861133849082555
6,mated,0.5839452674635316
6,mated,0.46903780975660614
6,mated,0.5457592097239804
6,mated,0.5235425648734056
6,mated,0.5170903579687518
6,mated,0.512425681384451
6,mated,0.5615883912783624
6,mated,0.5182856858513184
6,mated,0.5221507782327918
6,mated,0.532337073395329
6,mated,0.5885491919058102
6,mated,0.5200066039736562
6,mated,0.5237362142271615
6,mated,0.5216514064374219
6,mated,0.5905616933307535
6,mated,0.528537808491255
6,mated,0.525265311903868
6,mated,0.5378832222813631
6,mated,0.5271424088674054
6,mated,0.5043159049625816
6,mated,0.5120931919424652
6,mated,0.5397105726301387
6,mated,0.5239686722294385
6,mated,0.5521370955078175
6,mated,0.5439236001208592
6,mated,0.5042369366854171
6,mated,0.5011997160383275
6,mated,0.5332592341655457
6,mated,0.5269926554939908
6,mated,0.6696137364677329
6,mated,0.6210712105929594
6,mated,0.5917015884291255
6,mated,0.6743287934869904
6,mated,0.634309714326186
6,mated,0.6456949209351052
6,mated,0.5401715207088074
6,mated,0.6807908881996976
6,mated,0.6978566343114653
6,mated,0.638282441173795
6,mated,0.6786198766992357
6,mated,0.671779688618989
6,mated,0.6890741155726154
6,mated,0.6722004302663684
6,mated,0.6806964507915814
6,mated,0.6362470127651442
6,mated,0.6638710533418127
6,mated,0.6724611064375231
6,mated,0.6706485030496326
6,mated,0.6199818299467063
6,mated,0.6129066698869479
6,mated,0.6387815894362903
6,mated,0.664101788717947
6,mated,0.5424703537940474
6,mated,0.6665786380572597
6,mated,0.662432412932917
6,mated,0.5963653802880424
6,mated,0.6290462353416957
6,mated,0.6643487225374697
6,mated,0.6762729445412949
6,mated,0.6317062096867264
6,mated,0.646202773018233
6,mated,0.613877304861374
6,mated,0.6400469213536872
6,mated,0.6538161703232248
6,mated,0.6234154937219551
6,mated,0.6298341996128249
6,mated,0.6420945630071178
6,mated,0.5635643472487172
6,mated,0.6368957803474137
6,mated,0.6368727370124706
6,mated,0.6263491364624997
6,mated,0.5812569193189987
6,mated,0.6740712253285872
6,mated,0.6596992242370172
6,mated,0.6400577060707562
6,mated,0.6363135626916667
6,mated,0.6565118293368662
6,mated,0.6484098091637556
6,mated,0.6426848099897532
6,mated,0.62723700204561
6,mated,0.62335191798014
6,mated,0.691025845600217
6,mated,0.5647129146765258
6,mated,0.5772292800069431
6,mated,0.6816169170191669
6,mated,0.5128157909411784
6,mated,0.6574916219720264
6,mated,0.5943856527900723
6,mated,0.6818382025860039
6,mated,0.651082355232746
6,mated,0.6455059036940937
6,mated,0.6621327248583903
6,mated,0.6603984342624292
6,mated,0.6829665176979105
6,mated,0.6737676470716507
6,mated,0.6619280541453001
6,mated,0.6685060284213148
6,mated,0.6212483063865262
6,mated,0.6654041781446204
6,mated,0.5886592195785536
6,mated,0.6953186668698171
6,mated,0.7012242309672144
6,mated,0.6421490993653652
6,mated,0.6722364674544759
6,mated,0.605006184867834
6,mated,0.5763880397684121
6,mated,0.6209093459956813
